K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
33,JAWA TENGAH,,,,,,,
33.14,KAB. SRAGEN,,,20,12,196,"994,573","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
33.14.01,,,,1Kalijambe,-,14,,
33.14.01.2001,,,,,,1 Keden,,
33.14.01.2002,,,,,,2 Trobayan,,
33.14.01.2003,,,,,,3 Kalimacan,,
33.14.01.2004,,,,,,4 Jetiskarangpung,,
33.14.01.2005,,,,,,5 Krikilan,,
33.14.01.2006,,,,,,6 Bukuran,,
33.14.01.2007,,,,,,7 Ngebung,,
33.14.01.2008,,,,,,8 Tegalombo,,
33.14.01.2009,,,,,,9 Banaran,,
33.14.01.2010,,,,,,10 Karangjati,,
33.14.01.2011,,,,,,11 Saren,,
33.14.01.2012,,,,,,12 Sambirembe,,
33.14.01.2013,,,,,,13 Donoyudan,,
33.14.01.2014,,,,,,14 Wonorejo,,
33.14.02,,,,2Plupuh,-,16,,
33.14.02.2001,,,,,,1 Karangwaru,,
33.14.02.2002,,,,,,2 Ngrombo,,
33.14.02.2003,,,,,,3 Sambirejo,,
33.14.02.2004,,,,,,4 Somomorodukuh,,
33.14.02.2005,,,,,,5 Cangkol,,
33.14.02.2006,,,,,,6 Manyarejo,,
33.14.02.2007,,,,,,7 Pungsari,,
33.14.02.2008,,,,,,8 Jembangan,,
33.14.02.2009,,,,,,9 Sidokerto,,
33.14.02.2010,,,,,,10 Jabung,,
33.14.02.2011,,,,,,11 Gedongan,,
33.14.02.2012,,,,,,12 Plupuh,,
33.14.02.2013,,,,,,13 Dari,,
33.14.02.2014,,,,,,14 Karanganyar,,
33.14.02.2015,,,,,,15 Karungan,,
33.14.02.2016,,,,,,16 Gentanbanaran,,
33.14.03,,,,3Masaran,-,13,,
33.14.03.2001,,,,,,1 Sidodadi,,
33.14.03.2002,,,,,,2 Karangmalang,,
,,,,,,,,
