K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
63,KALIMANTAN SELATAN,,,,,,,
63.11,KAB. BALANGAN,,,8,3,154,"1.828,513","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
63.11.01,,,,1Juai,-,21,,
63.11.01.2001,,,,,,1 Muara Ninian,,
63.11.01.2002,,,,,,2 Hamarung,,
63.11.01.2003,,,,,,3 Juai,,
63.11.01.2004,,,,,,4 Buntu Karau,,
63.11.01.2005,,,,,,5 Bata,,
63.11.01.2006,,,,,,6 Galumbang,,
63.11.01.2007,,,,,,7 Sungai Batung,,
63.11.01.2008,,,,,,8 Sirap,,
63.11.01.2009,,,,,,9 Tigarun,,
63.11.01.2010,,,,,,10 Teluk Bayur,,
63.11.01.2011,,,,,,11 Pamurus,,
63.11.01.2012,,,,,,12 Marias,,
63.11.01.2013,,,,,,13 Lalayau,,
63.11.01.2014,,,,,,14 Mihu,,
63.11.01.2015,,,,,,15 Hukai,,
63.11.01.2016,,,,,,16 Tawahan,,
63.11.01.2017,,,,,,17 Gulinggang,,
63.11.01.2018,,,,,,18 Mungkur Uyam,,
63.11.01.2019,,,,,,19 Panimbaan,,
63.11.01.2020,,,,,,20 Wonorejo,,
63.11.01.2021,,,,,,21 Sumber Rejeki,,
63.11.02,,,,2Halong,-,24,,
63.11.02.2001,,,,,,1 Hauwai,,
63.11.02.2002,,,,,,2 Bangkal,,
63.11.02.2003,,,,,,3 Mantuyan,,
63.11.02.2004,,,,,,4 Tabuan,,
63.11.02.2005,,,,,,5 Halong,,
,,,,,,Baruh,,
,,,,,,Panyambaran,,
63.11.02.2008,,,,,,6 Puyun,,
63.11.02.2009,,,,,,7 Buntu Pilanduk,,
63.11.02.2010,,,,,,8 Gunung Riut,,
63.11.02.2011,,,,,,9 Kapul,,
63.11.02.2012,,,,,,10 Mamantang,,
,,,,,,,,
